8178,-6564,283,5681,-4621,-2632,-9114,-10592,3398,1161,-3284,2983,2891,743,-1701,
8178,-6564,283,5681,-4621,-2632,-9114,-10592,3398,1161,-3284,2983,2891,743,-1701,
-381,-9882,-484,-2080,10948,985,-295,-720,-505,-121,1029,-1270,-25,53,-14,
-381,-9882,-484,-2080,10948,985,-295,-720,-505,-121,1029,-1270,-25,53,-14,
-852,2710,-436,-826,-1110,-309,-793,289,-2202,-176,300,64,139,207,216,
-852,2710,-436,-826,-1110,-309,-793,289,-2202,-176,300,64,139,207,216,
-1067,-901,260,-947,-773,139,-662,157,-640,236,166,113,170,71,114,
-1067,-901,260,-947,-773,139,-662,157,-640,236,166,113,170,71,114,
-593,-576,284,-589,-391,33,-196,115,-130,40,-22,149,33,118,18,
-593,-576,284,-589,-391,33,-196,115,-130,40,-22,149,33,118,18,
-918,24,5,-582,13,-15,-229,11,-18,-13,12,-22,-1,3,-2,
-918,24,5,-582,13,-15,-229,11,-18,-13,12,-22,-1,3,-2,
115,-765,103,-125,-463,-83,3,25,-184,-3,-53,61,-7,110,4,
115,-765,103,-125,-463,-83,3,25,-184,-3,-53,61,-7,110,4,
7,-33,19,4,69,-12,-12,-4,-8,0,9,-4,5,-5,0,
-353,-87,1,-535,-85,23,-417,17,-75,21,9,2,8,17,25,
-353,-87,1,-535,-85,23,-417,17,-75,21,9,2,8,17,25,
-426,-84,29,-275,-30,18,-126,17,2,8,10,6,-1,-17,6,
-426,-84,29,-275,-30,18,-126,17,2,8,10,6,-1,-17,6,
-435,-27,21,-294,-20,-5,-126,7,1,-3,-8,3,8,4,6,
-435,-27,21,-294,-20,-5,-126,7,1,-3,-8,3,8,4,6,
17,-82,13,-14,-62,-11,-1,-21,-3,12,-9,-3,-17,-19,1,
59,-1170,103,0,-755,-1,123,46,-802,121,57,-8,80,-14,61,
59,-1170,103,0,-755,-1,123,46,-802,121,57,-8,80,-14,61,
136,-755,100,-116,-471,-92,-7,7,-189,4,-42,75,-4,98,0,
136,-755,100,-116,-471,-92,-7,7,-189,4,-42,75,-4,98,0,
22,-97,14,-27,72,-10,1,-7,-24,4,3,-8,-3,-1,-5,
22,-97,14,-27,72,-10,1,-7,-24,4,3,-8,-3,-1,-5,
124,-772,125,-131,-459,-105,3,8,-188,-4,-46,66,9,99,-6,
124,-772,125,-131,-459,-105,3,8,-188,-4,-46,66,9,99,-6,
34,-126,26,-21,82,-18,3,6,-33,-9,0,-22,-4,2,2,
34,-126,26,-21,82,-18,3,6,-33,-9,0,-22,-4,2,2,
23,35,-47,13,9,15,27,-18,-1,11,-22,-2,4,-10,9,
23,35,-47,13,9,15,27,-18,-1,11,-22,-2,4,-10,9,
-1,37,14,13,26,5,15,-3,44,-6,-15,19,-1,-11,-8,
-1357,-7100,1056,-1687,-3029,687,-1688,89,-25,580,-387,302,273,24,3,
-1357,-7100,1056,-1687,-3029,687,-1688,89,-25,580,-387,302,273,24,3,
-847,-2897,452,-1041,981,464,-812,-229,137,396,42,-112,-96,-37,-40,
-847,-2897,452,-1041,981,464,-812,-229,137,396,42,-112,-96,-37,-40,
-361,169,-50,-278,-106,-51,-109,50,40,-13,-24,20,10,-2,-8,
-361,169,-50,-278,-106,-51,-109,50,40,-13,-24,20,10,-2,-8,
-1335,-478,156,-895,-144,119,-373,50,13,49,-4,41,22,-5,-3,
-1335,-478,156,-895,-144,119,-373,50,13,49,-4,41,22,-5,-3,
28,200,-6,-13,-74,-1,-2,3,29,8,10,-11,2,5,6,
28,200,-6,-13,-74,-1,-2,3,29,8,10,-11,2,5,6,
74,-846,6,7,-189,8,-11,-4,33,-5,-12,6,6,0,7,
74,-846,6,7,-189,8,-11,-4,33,-5,-12,6,6,0,7,
-2086,-158,2,-1804,-63,23,-1430,11,4,25,-28,21,-3,15,-1,
-2086,-158,2,-1804,-63,23,-1430,11,4,25,-28,21,-3,15,-1,
-1539,-45,15,-949,-19,12,-383,-5,-10,4,-4,15,8,11,2,
-1539,-45,15,-949,-19,12,-383,-5,-10,4,-4,15,8,11,2,
-1577,-9,5,-996,-4,-2,-410,0,5,4,-1,-4,10,-2,0,
-1577,-9,5,-996,-4,-2,-410,0,5,4,-1,-4,10,-2,0,
145,-2941,-117,-2,1320,3,26,-32,-225,3,81,-15,1,-1,1,
145,-2941,-117,-2,1320,3,26,-32,-225,3,81,-15,1,-1,1,
18,128,2,-21,-66,-7,-5,-8,19,0,11,-17,-4,18,4,
18,128,2,-21,-66,-7,-5,-8,19,0,11,-17,-4,18,4,
45,-977,17,2,-153,3,-16,-3,61,3,-16,8,9,10,4,
45,-977,17,2,-153,3,-16,-3,61,3,-16,8,9,10,4,
13,105,17,-5,-72,0,0,-9,12,1,3,-6,-5,-3,-6,
13,105,17,-5,-72,0,0,-9,12,1,3,-6,-5,-3,-6,
52,-1072,7,-13,-86,2,-4,5,68,3,-15,34,2,11,0,
52,-1072,7,-13,-86,2,-4,5,68,3,-15,34,2,11,0,
-7,-171,-32,18,3,-15,44,-21,15,5,-13,-4,0,-9,-5,
-7,-171,-32,18,3,-15,44,-21,15,5,-13,-4,0,-9,-5,
321,2923,274,-355,-1616,-260,368,37,-2137,232,-230,159,-91,146,-94,
321,2923,274,-355,-1616,-260,368,37,-2137,232,-230,159,-91,146,-94,
72,-1210,62,-14,-707,-7,140,64,-807,120,31,-5,80,6,47,
72,-1210,62,-14,-707,-7,140,64,-807,120,31,-5,80,6,47,
139,-743,102,-115,-480,-100,-6,24,-181,-12,-38,66,8,105,-1,
139,-743,102,-115,-480,-100,-6,24,-181,-12,-38,66,8,105,-1,
30,-135,6,-2,102,-21,-5,-3,-33,4,4,-20,-5,9,3,
30,-135,6,-2,102,-21,-5,-3,-33,4,4,-20,-5,9,3,
163,-742,101,-116,-474,-90,-3,29,-200,-1,-45,73,6,98,-4,
163,-742,101,-116,-474,-90,-3,29,-200,-1,-45,73,6,98,-4,
32,-125,-5,-11,96,-14,-7,-1,-24,17,-2,-17,-6,16,-1,
32,-125,-5,-11,96,-14,-7,-1,-24,17,-2,-17,-6,16,-1,
-19,233,-71,7,200,-15,34,-34,129,13,-27,-17,11,4,-3,
-19,233,-71,7,200,-15,34,-34,129,13,-27,-17,11,4,-3,
11,119,-7,-18,87,-6,5,-17,15,2,-7,19,-8,-9,-5,
11,119,-7,-18,87,-6,5,-17,15,2,-7,19,-8,-9,-5,
22,215,4,-24,100,-12,20,9,26,0,-14,31,6,-9,3,
22,215,4,-24,100,-12,20,9,26,0,-14,31,6,-9,3,
686,-1019,-120,-353,-631,131,237,-7,-715,-1,-61,56,26,50,30,
686,-1019,-120,-353,-631,131,237,-7,-715,-1,-61,56,26,50,30,
88,-727,101,-109,-476,-115,-7,18,-193,7,-40,66,-3,108,-2,
88,-727,101,-109,-476,-115,-7,18,-193,7,-40,66,-3,108,-2,
18,-147,13,-20,85,-14,-5,9,-19,-4,6,-11,-2,5,-6,
18,-147,13,-20,85,-14,-5,9,-19,-4,6,-11,-2,5,-6,
291,-586,-22,-112,-399,-46,-33,-4,-161,-14,-13,62,10,68,9,
291,-586,-22,-112,-399,-46,-33,-4,-161,-14,-13,62,10,68,9,
425,-76,-16,-86,40,-9,-5,3,9,12,-2,-3,-10,6,0,
425,-76,-16,-86,40,-9,-5,3,9,12,-2,-3,-10,6,0,
9,479,29,-107,359,-82,46,4,242,44,31,-60,32,-20,12,
9,479,29,-107,359,-82,46,4,242,44,31,-60,32,-20,12,
-36,321,-17,-7,130,-1,2,9,20,4,-13,24,-10,20,0,
-36,321,-17,-7,130,-1,2,9,20,4,-13,24,-10,20,0,
138,319,64,-36,106,-15,-6,48,-32,7,-2,10,7,14,0,
138,319,64,-36,106,-15,-6,48,-32,7,-2,10,7,14,0,
1433,-8155,-629,-1284,-2304,853,1099,-466,1200,-712,-235,269,-225,-110,104,
1433,-8155,-629,-1284,-2304,853,1099,-466,1200,-712,-235,269,-225,-110,104,
115,-2583,-71,-25,1413,-7,22,-17,-469,13,53,9,-5,-20,6,
115,-2583,-71,-25,1413,-7,22,-17,-469,13,53,9,-5,-20,6,
11,81,1,-10,-40,-4,1,-11,0,4,10,-3,-1,-1,-9,
22,-1124,-5,-3,-9,-3,-1,-5,95,9,-9,10,3,-1,0,
22,-1124,-5,-3,-9,-3,-1,-5,95,9,-9,10,3,-1,0,
30,61,14,1,-21,0,4,-11,12,-4,9,-5,-3,-11,-4,
48,-1178,22,-2,41,-30,-14,-17,72,-6,-15,18,2,11,-3,
48,-1178,22,-2,41,-30,-14,-17,72,-6,-15,18,2,11,-3,
-99,-138,-26,2,37,3,19,-31,66,-1,-20,5,-1,14,-3,
-99,-138,-26,2,37,3,19,-31,66,-1,-20,5,-1,14,-3,
3,59,-20,-12,44,-7,-2,3,24,6,-1,-5,-5,-7,-3,
529,-1692,-540,-226,1095,216,111,294,-524,-95,-87,-146,65,85,-42,
529,-1692,-540,-226,1095,216,111,294,-524,-95,-87,-146,65,85,-42,
6,57,7,-3,-12,14,-17,-21,9,0,3,-5,12,0,0,
32,-1157,19,9,143,-17,-18,-3,68,9,-6,-4,-4,-2,-9,
32,-1157,19,9,143,-17,-18,-3,68,9,-6,-4,-4,-2,-9,
398,-689,-231,-40,178,56,-18,43,42,18,9,-15,-9,-6,5,
398,-689,-231,-40,178,56,-18,43,42,18,9,-15,-9,-6,5,
1827,59,-20,-1259,148,-32,568,27,115,17,16,-40,15,-32,1,
1827,59,-20,-1259,148,-32,568,27,115,17,16,-40,15,-32,1,
-63,138,-18,-2,69,7,4,-24,17,5,-4,13,-4,0,-2,
-63,138,-18,-2,69,7,4,-24,17,5,-4,13,-4,0,-2,
-58,-8,-4,13,10,0,-1,0,-2,17,-5,-5,-5,1,5,
1040,105,50,-171,72,10,-4,6,26,2,-2,8,-7,-18,6,
1040,105,50,-171,72,10,-4,6,26,2,-2,8,-7,-18,6,
1013,-5,-6,-155,8,6,-10,3,-12,2,16,-8,7,6,5,
1013,-5,-6,-155,8,6,-10,3,-12,2,16,-8,7,6,5,
264,5529,-2135,-4027,3038,978,-645,952,3885,328,-1129,-1395,-114,125,364,
264,5529,-2135,-4027,3038,978,-645,952,3885,328,-1129,-1395,-114,125,364,
-1905,3391,-460,-1643,2134,-271,-1592,-188,755,-297,20,-181,-191,-80,-84,
-1905,3391,-460,-1643,2134,-271,-1592,-188,755,-297,20,-181,-191,-80,-84,
-1757,1824,-336,-1511,-120,-270,-1163,47,-400,-246,71,-8,18,55,61,
-1757,1824,-336,-1511,-120,-270,-1163,47,-400,-246,71,-8,18,55,61,
